1	6548
1	15409
2	17794
2	25202
2	53625
2	54582
2	64930
2	73764
2	84477
2	98628
2	100193
2	102355
2	105318
2	105730
2	115926
2	140864
2	163550
2	164599
2	175799
2	178642
2	181714
2	190453
2	204189
2	204604
2	210870
2	213966
2	225119
2	241596
2	243294
2	246897
2	251658
2	252915
2	280935
3	74361
4	35716
4	96512
4	186750
4	225872
5	6545
5	14395
5	59745
5	67503
5	134375
5	170452
5	220513
6	6540
6	59742
7	45366
7	123814
7	149627
7	194146
7	198520
7	240934
8	35084
8	41117
8	58764
8	86240
8	222332
8	248139
8	270771
9	32423
10	6536
10	55087
10	118572
11	149993
12	68889
12	95163
12	136821
12	251796
12	272442
13	41825
13	76448
13	180949
14	34573
14	38342
14	81435
14	105607
14	167295
14	198090
14	214128
14	226411
14	234704
14	245659
15	214109
16	19955
16	25301
16	61790
16	65322
16	101424
16	234568
17	24306
17	34573
17	38342
17	41643
17	52013
17	52962
17	54732
17	55175
17	57467
17	66434
17	81435
17	94594
17	105607
17	129421
17	141904
17	142953
17	150611
17	166220
17	167295
17	180906
17	186865
17	190691
17	192858
17	198090
17	200870
17	203575
17	214128
17	223094
17	226411
17	230785
17	231650
17	234704
17	244189
17	245659
17	271588
17	280828
18	13084
18	72208
19	2040
19	23813
19	111516
19	130832
19	168793
19	170290
19	185302
19	186066
19	193561
19	226411
19	231910
19	236225
19	239607
19	244916
19	251990
19	277163
19	277993
20	2656
20	9600
20	36829
20	146060
20	175144
20	195916
21	141935
21	186750
21	197645
21	203033
21	222324
21	225872
21	266753
22	6560
22	15399
22	67756
22	69358
22	148505
22	241454
23	145290
23	220288
24	37606
24	72393
24	109453
24	121145
24	186750
24	206531
24	208810
24	225872
24	229817
24	271840
25	7022
25	9077
25	17781
25	38134
25	62478
25	66211
25	71877
25	75454
25	77999
25	96745
25	104748
25	120708
25	120904
25	127062
25	137632
25	138804
25	145084
25	176790
25	177323
25	181701
25	183004
25	183375
25	200803
25	207441
25	221087
25	247241
25	255607
25	259455
25	273812
26	14125
26	19470
26	20533
26	53055
26	84428
26	92641
26	116180
26	117864
26	141370
26	165189
26	177014
26	226290
26	243180
26	244195
26	247252
26	281568
27	6556
27	31091
28	34573
28	38342
28	81435
28	105607
28	167295
28	198090
28	214128
28	226411
28	234704
28	245659
29	6552
29	15404
30	6551
30	19960
30	28641
31	142649
32	245209
33	25296
33	237617
33	244236
34	6514
34	118600
35	7590
35	140928
35	149254
35	177612
35	183988
35	204648
36	6512
36	95363
36	257257
37	33989
37	78861
37	101831
37	124470
37	141934
37	163111
37	163670
37	166637
37	169568
37	226411
37	234704
38	6507
38	15379
39	6506
39	15380
39	181503
40	6509
40	25471
40	28674
41	1581
41	6508
41	59708
41	261901
42	166939
43	5030
43	13719
43	17567
43	49102
43	59590
43	70993
43	122938
43	145296
43	153026
43	161514
43	167818
43	205332
44	55788
44	241454
44	264455
45	34573
45	38342
45	81435
45	105607
45	167295
45	198090
45	214128
45	226411
45	234704
45	245659
46	6505
46	59704
47	102175
47	214033
48	6501
48	59701
48	91620
48	192935
49	135859
49	162251
49	163607
49	198205
50	183049
51	6503
51	239281
52	100326
52	131387
52	166507
52	189445
52	201653
52	206853
52	238441
52	273055
53	584
53	11399
53	20047
53	34573
53	38342
53	40297
53	46923
53	61781
53	71937
53	73093
53	81435
53	83582
53	86314
53	100271
53	104550
53	105607
53	115715
53	116272
53	140438
53	147609
53	165048
53	165923
53	167295
53	172082
53	180391
53	198090
53	201678
53	202260
53	214128
53	222148
53	222940
53	226411
53	234704
53	241435
53	244609
53	245659
54	94286
54	167748
54	194021
54	199959
54	242712
55	25276
56	2260
56	19189
56	98387
56	186902
56	205477
57	34573
57	38342
57	81435
57	105607
57	167295
57	198090
57	214128
57	226411
57	234704
57	245659
58	6496
58	20015
58	28661
58	68952
59	19621
59	91874
59	119479
59	150630
59	184531
59	275947
60	7203
60	27940
60	30002
60	46787
